"Product Brand","Product Id","Product Name","Competitor Price","Competitor Name","Region"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","","winestreet.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","31490","luding.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","18860","bestwine24.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","29090","wine-shopper.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","31490","winehelp2.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","27490","simplewine.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","17847","cigarpro.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","15815","alcoplaza.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","13999.9","myspar.ru","Москва"
"Darroze","s103448","Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox","13490","decanter.ru","Москва"
"Hoppers","s147523","Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л, 0.5 0.5 Джин сухой дистиллированный \"ХОППЕРС ЛАВАНДА ИЧАБРЕЦ\" 0,5 л","889","winestyle.ru","Москва"
"Hoppers","s147523","Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л, 0.5 0.5 Джин сухой дистиллированный \"ХОППЕРС ЛАВАНДА ИЧАБРЕЦ\" 0,5 л","1000","bestwine24.ru","Москва"
