"Product Brand";"Product Price";"Product Id";"Product Bar";"Product Name";"Competitor Name";"Region"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"winestreet.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"luding.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"bestwine24.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"wine-shopper.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"winehelp2.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"simplewine.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"cigarpro.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"alcoplaza.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"myspar.ru";"Москва"
"Darroze";"29990.0";"s103448";"";"Unique Collection Bas-Armagnac Баз-Арманьяк Дарроз Уник Коллексьон в дер.кор. 0.7 Bas-Armagnac Darroze Unique Collection in woodengiftbox";"decanter.ru";"Москва"
"Hoppers";"833.0";"s147523";"";"Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л, 0.5 0.5 Джин сухой дистиллированный \\\"ХОППЕРС ЛАВАНДА ИЧАБРЕЦ\\\" 0,5 л";"winestyle.ru";"Москва"
"Hoppers";"833.0";"s147523";"";"Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л Джин ХОППЕРС ЛАВАНДА И ЧАБРЕЦ 0,5 л, 0.5 0.5 Джин сухой дистиллированный \\\"ХОППЕРС ЛАВАНДА ИЧАБРЕЦ\\\" 0,5 л";"bestwine24.ru";"Москва"
